File,Value
20130404a.htm.txt,16050
barr20220907a.htm.txt,-12065
barr20221012a.htm.txt,22022
barr20221201a.htm.txt,-269316
barr20230207a.htm.txt,-48279
barr20230309a.htm.txt,-106598
barr20230329a.htm.txt,16031
barr20230710a.htm.txt,-130626
barr20230718a.htm.txt,-14052
barr20230908a.htm.txt,52212
barr20231002a.htm.txt,-98446
barr20231009a.htm.txt,-118652
barr20231019a.htm.txt,-221023
barr20231027a.htm.txt,28096
barr20231116a.htm.txt,-4007
barr20231128a.htm.txt,32133
barr20231201a.htm.txt,-174868
bernanke20120724a.htm.txt,9949
bernanke20120806a.htm.txt,42151
bernanke20120807a.htm.txt,17999
bernanke20120831a.htm.txt,-185004
bernanke20121001a.htm.txt,-78397
bernanke20121014a.htm.txt,-52300
bernanke20121115a.htm.txt,-170875
bernanke20121120a.htm.txt,-255129
bernanke20130301a.htm.txt,-150752
bernanke20130325a.htm.txt,-110610
bernanke20130408a.htm.txt,-233085
bernanke20130412a.htm.txt,12002
bernanke20130510a.htm.txt,-214993
bernanke20130518a.htm.txt,54211
bernanke20130602a.htm.txt,28116
bernanke20130710a.htm.txt,-40529
bernanke20131002a.htm.txt,-10053
bernanke20131014a.htm.txt,10001
bernanke20131108a.htm.txt,-194870
bernanke20131113a.htm.txt,12041
bernanke20131114a.htm.txt,16067
bernanke20131119a.htm.txt,-64411
bernanke20131216a.htm.txt,-18103
bernanke20131216b.htm.txt,-10053
bernanke20140103a.htm.txt,-188945
bowman20190211a.htm.txt,2020
bowman20190325a.htm.txt,18048
bowman20190328a.htm.txt,-64365
bowman20190402a.htm.txt,88352
bowman20190411a.htm.txt,14053
bowman20190625a.htm.txt,-12051
bowman20190904a.htm.txt,4007
bowman20191001a.htm.txt,-24171
bowman20191017a.htm.txt,10037
bowman20191021a.htm.txt,22102
bowman20200116a.htm.txt,-36162
bowman20200210a.htm.txt,96413
bowman20200227a.htm.txt,146591
bowman20200819a.htm.txt,28140
bowman20200826a.htm.txt,-48249
bowman20200930a.htm.txt,-38201
bowman20201001a.htm.txt,-28112
bowman20201119a.htm.txt,-128661
bowman20201204a.htm.txt,42112
bowman20210216a.htm.txt,1894
bowman20210222a.htm.txt,14022
bowman20210322a.htm.txt,-64255
bowman20210505a.htm.txt,18081
bowman20210623a.htm.txt,26120
bowman20210803a.htm.txt,-3974
bowman20210909a.htm.txt,38119
bowman20210928a.htm.txt,-2105
bowman20211013a.htm.txt,-16050
bowman20211019a.htm.txt,-3883
bowman20211022a.htm.txt,-90372
bowman20211108a.htm.txt,-64277
bowman20211129a.htm.txt,36146
bowman20220221a.htm.txt,-10045
bowman20220318a.htm.txt,6016
bowman20220623a.htm.txt,4057
bowman20220806a.htm.txt,-84444
bowman20220817a.htm.txt,26062
bowman20220817b.htm.txt,-88286
bowman20220928a.htm.txt,4021
bowman20220930a.htm.txt,-34221
bowman20221012a.htm.txt,-62372
bowman20221020a.htm.txt,-50153
bowman20221117a.htm.txt,48227
bowman20230110a.htm.txt,4007
bowman20230213a.htm.txt,52215
bowman20230215a.htm.txt,-46230
bowman20230303a.htm.txt,-26172
bowman20230314a.htm.txt,60221
bowman20230414a.htm.txt,-88459
bowman20230418a.htm.txt,-4106
bowman20230420a.htm.txt,-10064
bowman20230512a.htm.txt,-128631
bowman20230519a.htm.txt,-48260
bowman20230531a.htm.txt,12057
bowman20230622a.htm.txt,22121
bowman20230625a.htm.txt,-194947
bowman20230805a.htm.txt,8025
bowman20230807a.htm.txt,2009
bowman20230822a.htm.txt,24119
bowman20230922a.htm.txt,4018
bowman20230926a.htm.txt,-4026
bowman20230927a.htm.txt,14066
bowman20231002a.htm.txt,-34164
bowman20231004a.htm.txt,-72398
bowman20231007a.htm.txt,-16072
bowman20231011a.htm.txt,-66418
bowman20231017a.htm.txt,60130
bowman20231018a.htm.txt,22080
bowman20231107a.htm.txt,-114548
bowman20231109a.htm.txt,-162742
bowman20231128a.htm.txt,-5980
bowman20231205a.htm.txt,30094
brainard20141202a.htm.txt,-18089
brainard20141203a.htm.txt,-128628
brainard20150402a.htm.txt,-185089
brainard20150602a.htm.txt,-108475
brainard20150701a.htm.txt,-92436
brainard20150709a.htm.txt,-146673
brainard20150930a.htm.txt,14006
brainard20151012a.htm.txt,-106386
brainard20151019a.htm.txt,-46240
brainard20151106a.htm.txt,-102558
brainard20151201a.htm.txt,-168756
